Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes
The Shawshank Redemption,1994,A,142 min,Drama,9.3,2343110
The Godfather,1972,A,175 min,"Crime, Drama",9.2,1620367
The Dark Knight,2008,UA,152 min,"Action, Crime, Drama",9,2303232
The Godfather: Part II,1974,A,202 min,"Crime, Drama",9,1129952
12 Angry Men,1957,U,96 min,"Crime, Drama",9,689845
The Lord of the Rings: The Return of the King,2003,U,201 min,"Action, Adventure, Drama",8.9,1642758
Pulp Fiction,1994,A,154 min,"Crime, Drama",8.9,1826188
Schindler's List,1993,A,195 min,"Biography, Drama, History",8.9,1213505
Inception,2010,UA,148 min,"Action, Adventure, Sci-Fi",8.8,2067042
Fight Club,1999,A,139 min,Drama,8.8,1854740
The Lord of the Rings: The Fellowship of the Ring,2001,U,178 min,"Action, Adventure, Drama",8.8,1661481
Forrest Gump,1994,UA,142 min,"Drama, Romance",8.8,1809221
"Il buono, il brutto, il cattivo",1966,A,161 min,Western,8.8,688390
The Lord of the Rings: The Two Towers,2002,UA,179 min,"Action, Adventure, Drama",8.7,1485555
The Matrix,1999,A,136 min,"Action, Sci-Fi",8.7,1676426
Goodfellas,1990,A,146 min,"Biography, Crime, Drama",8.7,1020727
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124 min,"Action, Adventure, Fantasy",8.7,1159315
One Flew Over the Cuckoo's Nest,1975,A,133 min,Drama,8.7,918088
Hamilton,2020,PG-13,160 min,"Biography, Drama, History",8.6,55291
Gisaengchung,2019,A,132 min,"Comedy, Drama, Thriller",8.6,552778
Soorarai Pottru,2020,U,153 min,Drama,8.6,54995
Interstellar,2014,UA,169 min,"Adventure, Drama, Sci-Fi",8.6,1512360
Cidade de Deus,2002,A,130 min,"Crime, Drama",8.6,699256
Sen to Chihiro no kamikakushi,2001,U,125 min,"Animation, Adventure, Family",8.6,651376
Saving Private Ryan,1998,R,169 min,"Drama, War",8.6,1235804
The Green Mile,1999,A,189 min,"Crime, Drama, Fantasy",8.6,1147794
La vita è bella,1997,U,116 min,"Comedy, Drama, Romance",8.6,623629
Se7en,1995,A,127 min,"Crime, Drama, Mystery",8.6,1445096
The Silence of the Lambs,1991,A,118 min,"Crime, Drama, Thriller",8.6,1270197
Star Wars,1977,UA,121 min,"Action, Adventure, Fantasy",8.6,1231473
Seppuku,1962,,133 min,"Action, Drama, Mystery",8.6,42004
Shichinin no samurai,1954,U,207 min,"Action, Adventure, Drama",8.6,315744
It's a Wonderful Life,1946,PG,130 min,"Drama, Family, Fantasy",8.6,405801
Joker,2019,A,122 min,"Crime, Drama, Thriller",8.5,939252
Whiplash,2014,A,106 min,"Drama, Music",8.5,717585
The Intouchables,2011,UA,112 min,"Biography, Comedy, Drama",8.5,760360
The Prestige,2006,U,130 min,"Drama, Mystery, Sci-Fi",8.5,1190259
The Departed,2006,A,151 min,"Crime, Drama, Thriller",8.5,1189773
The Pianist,2002,R,150 min,"Biography, Drama, Music",8.5,729603
Gladiator,2000,UA,155 min,"Action, Adventure, Drama",8.5,1341460
American History X,1998,R,119 min,Drama,8.5,1034705
The Usual Suspects,1995,A,106 min,"Crime, Mystery, Thriller",8.5,991208
Léon,1994,A,110 min,"Action, Crime, Drama",8.5,1035236
